fieldIndex, name, latitudeA, longitudeA, latitudeB, longitudeB ,latitudeC, longitudeC ,latitudeD, longitudeD
 52, 제주 공천포 전지훈련센터,33.275051205949076,126.64116317556137,33.27593055475896,126.64115456517794,33.275928585186655,126.64047809745962,33.27504474932323,126.64048997992937
 53, 제주 걸매B구장,33.24944685364057,126.55409098899419,33.25037897986947,126.5542634353327,33.25047724086068,126.5535453007986,33.24954503207654,126.5533621282682
 54, Casco Histórico de Vallecas Soccer Field B Spain,40.376555,-3.613156,40.377416,-3.612822,40.377579,-3.613529,40.376718,-3.613863
 55, 서귀포 효돈축구공원 인조구장B,33.257958100390965,126.61086585487635,33.25890498656136,126.61084230579247,33.258895254965765,126.61011237208095,33.257946565281124,126.61013594732019
 56, 서귀포 효돈축구공원 인조구장A,33.25794792347061,126.61007366676354,33.2588948938655,126.6100619176296,33.2588940997052,126.60932115768348,33.25793813367082,126.60933622679259
 57, 제주종합경기장 애향운동장,33.49502771503901,126.51817883049057,33.49597337336583,126.51823597397208,33.49600374723427,126.51751653982564,33.49505809725759,126.51746048054004
 58, Rachakram Soccer Field Thailand,14.168657,100.529538,14.16963,100.529663,14.169713,100.529022,14.168735,100.528881
30, Football Salou Sports Complex Field4 Spain,41.08362,1.116638,41.084241,1.115777,41.083826,1.115249,41.083206,1.116107
 60, 양해누리체육공원 인조잔디 2구장,37.5115751,126.871718,37.511902,126.872777,37.512417,126.872515,37.512098,126.871464
 61, Football Salou Sports Complex Field2 Spain,41.084575,1.117848,41.085192,1.11699,41.084778,1.116461,41.084157,1.117322
 62, 제주 시민축구장,33.262067,126.588952,33.261995,126.590105,33.262619,126.590143,33.262671,126.588987
 63, Poliesportiu Municipal Olimpia Field2 Spain,41.556162,2.092767,41.557054,2.092645,41.556998,2.091927,41.556105,2.092052
